gap_mm,magnet_thickness_mm,current_A,stator_OD_mm,magnet_inner_diameter_mm,magnet_seat_diameter_mm,rotor_OD_mm,turns,torque_Nm,torque_mNm,Bgap_peak_T,Bgap_average_T
0.5,1.5,1,38.5,39.5,42.5,48.1,20,0.00151940859924803,1.51940859924803,0.4825088668089493,0.2948518944169004
0.5,1.5,2,38.5,39.5,42.5,48.1,20,0.0030388236498092,3.038823649809201,0.4831009591428681,0.2948646279183987
0.5,1.5,3,38.5,39.5,42.5,48.1,20,0.004558245152591628,4.558245152591629,0.4836933743405362,0.29487802426733
0.5,2,1,38.5,39.5,43.5,49.1,20,0.001865436777595285,1.865436777595285,0.5500379388102453,0.3545605400413364
0.5,2,2,38.5,39.5,43.5,49.1,20,0.003730885189726573,3.730885189726573,0.5502823984507514,0.3545732918722653
0.5,2,3,38.5,39.5,43.5,49.1,20,0.005596345229077451,5.596345229077452,0.5508188900515019,0.3545865683194181
0.5,2.5,1,38.5,39.5,44.5,50.1,20,0.002153198655214583,2.153198655214582,0.6074001783111709,0.4046556809595827
0.5,2.5,2,38.5,39.5,44.5,50.1,20,0.004306425792939788,4.306425792939788,0.6076519816448424,0.4046681451551876
0.5,2.5,3,38.5,39.5,44.5,50.1,20,0.006459681406850631,6.459681406850631,0.6079042805842347,0.4046810487159854
0.5,3,1,38.5,39.5,45.5,51.1,20,0.002394622680564536,2.394622680564536,0.6557236107791155,0.4464036697832384
0.5,3,2,38.5,39.5,45.5,51.1,20,0.004789262960386355,4.789262960386354,0.6559707310631016,0.4464169243285573
0.5,3,3,38.5,39.5,45.5,51.1,20,0.007183920839422083,7.183920839422083,0.6562183033422819,0.4464305652715274
0.6,1.5,1,38.5,39.7,42.7,48.3,20,0.001462176333558552,1.462176333558552,0.4454366982817366,0.2850522968994155
0.6,1.5,2,38.5,39.7,42.7,48.3,20,0.002924357629503198,2.924357629503198,0.4459860732183472,0.2850645867878313
0.6,1.5,3,38.5,39.7,42.7,48.3,20,0.004386543899801783,4.386543899801783,0.4465356425341251,0.2850775284876769
0.6,2,1,38.5,39.7,43.7,49.3,20,0.00179576350604412,1.79576350604412,0.5174738985694375,0.3444279350263102
0.6,2,2,38.5,39.7,43.7,49.3,20,0.003591536807288446,3.591536807288446,0.5174146626347904,0.3444409942960435
0.6,2,3,38.5,39.7,43.7,49.3,20,0.005387319903560404,5.387319903560404,0.5173562140495535,0.3444545596861612
0.6,2.5,1,38.5,39.7,44.7,50.3,20,0.002073388936356497,2.073388936356497,0.5703659890172829,0.3939190207435077
0.6,2.5,2,38.5,39.7,44.7,50.3,20,0.00414680551273402,4.14680551273402,0.5709144630616163,0.3939316447237926
0.6,2.5,3,38.5,39.7,44.7,50.3,20,0.006220249730016923,6.220249730016923,0.5714629487318604,0.3939446958884257
0.6,3,1,38.5,39.7,45.7,51.3,20,0.002306573893224297,2.306573893224297,0.6237241625149167,0.4353306613105329
0.6,3,2,38.5,39.7,45.7,51.3,20,0.004613167703617487,4.613167703617487,0.6236822101069364,0.4353431829634697
0.6,3,3,38.5,39.7,45.7,51.3,20,0.00691978146486554,6.91978146486554,0.6236409110188268,0.4353560778091847
0.7,1.5,1,38.5,39.9,42.9,48.5,20,0.001408120346814834,1.408120346814834,0.4179308348197164,0.2768201361601956
0.7,1.5,2,38.5,39.9,42.9,48.5,20,0.00281624409029792,2.81624409029792,0.4177144440449729,0.2768325586251465
0.7,1.5,3,38.5,39.9,42.9,48.5,20,0.004224371230198119,4.224371230198119,0.4174981048323478,0.2768456143638364
0.7,2,1,38.5,39.9,43.9,49.5,20,0.001728868532717274,1.728868532717274,0.4865141285920353,0.3352609746457387
0.7,2,2,38.5,39.9,43.9,49.5,20,0.003457751331168594,3.457751331168594,0.4864778543117421,0.3352741248918795
0.7,2,3,38.5,39.9,43.9,49.5,20,0.005186648370631744,5.186648370631745,0.4864423930631994,0.3352877711603263
0.7,2.5,1,38.5,39.9,44.9,50.5,20,0.001997305044707654,1.997305044707654,0.541121923842101,0.3836658481513613
